"","horizontalPosition","verticalPosition","t","mean_vswc","n"
"276","2","503",2020-06-14 23:00:00,0.20015625,16
"277","2","503",2020-06-15 11:00:00,0.197438888888889,18
"278","2","503",2020-06-15 23:00:00,0.20086875,16
"279","2","503",2020-06-16 11:00:00,0.199275,16
"280","2","503",2020-06-16 23:00:00,0.20163125,16
"281","2","503",2020-06-17 11:00:00,0.197682352941176,17
"282","2","503",2020-06-17 23:00:00,0.1993,19
"283","2","503",2020-06-18 11:00:00,0.195683333333333,18
"284","2","503",2020-06-18 23:00:00,0.198158823529412,17
"285","2","503",2020-06-19 11:00:00,0.19465,20
"286","2","503",2020-06-19 23:00:00,0.19863125,16
"287","2","503",2020-06-20 11:00:00,0.195795238095238,21
"288","2","503",2020-06-20 23:00:00,0.19924,20
"289","2","503",2020-06-21 11:00:00,0.197038461538462,13
"290","2","503",2020-06-21 23:00:00,0.201483333333333,18
"291","2","503",2020-06-22 11:00:00,0.1994875,16
"292","2","503",2020-06-22 23:00:00,0.2030375,24
"293","2","503",2020-06-23 11:00:00,0.199238888888889,18
"294","2","503",2020-06-23 23:00:00,0.202811111111111,18
"295","2","503",2020-06-24 11:00:00,0.199210526315789,19
"296","2","503",2020-06-24 23:00:00,0.20273,20
"297","2","503",2020-06-25 11:00:00,0.200305882352941,17
"298","2","503",2020-06-25 23:00:00,0.202635,20
"299","2","503",2020-06-26 11:00:00,0.19876875,16
"300","2","503",2020-06-26 23:00:00,0.201875,16
"301","2","503",2020-06-27 11:00:00,0.197995238095238,21
"302","2","503",2020-06-27 23:00:00,0.201655,20
"303","2","503",2020-06-28 11:00:00,0.199233333333333,15
"304","2","503",2020-06-28 23:00:00,0.197566666666667,15
"305","2","503",2020-06-29 11:00:00,0.19214,15
"306","2","503",2020-06-29 23:00:00,0.191273333333333,15
"307","2","503",2020-06-30 11:00:00,0.187414285714286,14
"308","2","503",2020-06-30 23:00:00,0.18875625,16
"309","2","503",2020-07-01 11:00:00,0.18619375,16
"310","2","503",2020-07-01 23:00:00,0.19105,20
"311","2","503",2020-07-02 11:00:00,0.189373684210526,19
"312","2","503",2020-07-02 23:00:00,0.193231578947368,19
"313","2","503",2020-07-03 11:00:00,0.1910875,16
"314","2","503",2020-07-03 23:00:00,0.194494117647059,17
"315","2","503",2020-07-04 11:00:00,0.192252941176471,17
"316","2","503",2020-07-04 23:00:00,0.195388235294118,17
"317","2","503",2020-07-05 11:00:00,0.192507142857143,14
"318","2","503",2020-07-05 23:00:00,0.195826666666667,15
"319","2","503",2020-07-06 11:00:00,0.192378947368421,19
"320","2","503",2020-07-06 23:00:00,0.195305555555556,18
"321","2","503",2020-07-07 11:00:00,0.1928875,16
"322","2","503",2020-07-07 23:00:00,0.195327777777778,18
"323","2","503",2020-07-08 11:00:00,0.191044444444444,18
"324","2","503",2020-07-08 23:00:00,0.193964705882353,17
"325","2","503",2020-07-09 11:00:00,0.1904125,16
"326","2","503",2020-07-09 23:00:00,0.192983333333333,18
"327","2","503",2020-07-10 11:00:00,0.189664705882353,17
"328","2","503",2020-07-10 23:00:00,0.1929375,16
"329","2","503",2020-07-11 11:00:00,0.189268421052632,19
"330","2","503",2020-07-11 23:00:00,0.192766666666667,18
"331","2","503",2020-07-12 11:00:00,0.190576470588235,17
"332","2","503",2020-07-12 23:00:00,0.193552631578947,19
"333","2","503",2020-07-13 11:00:00,0.190215,20
"334","2","503",2020-07-13 23:00:00,0.192671428571429,21
"335","2","503",2020-07-14 11:00:00,0.18910625,16
"336","2","503",2020-07-14 23:00:00,0.191026666666667,15
"337","2","503",2020-07-15 11:00:00,0.18754,15
"338","2","503",2020-07-15 23:00:00,0.190095,20
"339","2","503",2020-07-16 11:00:00,0.186305,20
"340","2","503",2020-07-16 23:00:00,0.188686666666667,15
"341","2","503",2020-07-17 11:00:00,0.186052941176471,17
"342","2","503",2020-07-17 23:00:00,0.188152631578947,19
"343","2","503",2020-07-18 11:00:00,0.185190476190476,21
"344","2","503",2020-07-18 23:00:00,0.188157894736842,19
"345","2","503",2020-07-19 11:00:00,0.184811764705882,17
"346","2","503",2020-07-19 23:00:00,0.186622222222222,18
"347","2","503",2020-07-20 11:00:00,0.183088888888889,18
"348","2","503",2020-07-20 23:00:00,0.185905555555556,18
"349","2","503",2020-07-21 11:00:00,0.182352941176471,17
"350","2","503",2020-07-21 23:00:00,0.18414,15
"351","2","503",2020-07-22 11:00:00,0.18160625,16
"352","2","503",2020-07-22 23:00:00,0.179831578947368,19
"353","2","503",2020-07-23 11:00:00,0.1766,17
"354","2","503",2020-07-23 23:00:00,0.177773333333333,15
"355","2","503",2020-07-24 11:00:00,0.17588,10
"356","2","503",2020-07-24 23:00:00,0.178109090909091,11
"357","2","503",2020-07-25 11:00:00,0.176171428571429,14
"358","2","503",2020-07-25 23:00:00,0.178384615384615,13
"359","2","503",2020-07-26 11:00:00,0.175627272727273,11
"360","2","503",2020-07-26 23:00:00,0.176808333333333,12
"361","2","503",2020-07-27 11:00:00,0.17395,18
"362","2","503",2020-07-27 23:00:00,0.174647058823529,17
"363","2","503",2020-07-28 11:00:00,0.171884615384615,13
"364","2","503",2020-07-28 23:00:00,0.174586666666667,15
"365","2","503",2020-07-29 11:00:00,0.171752941176471,17
"366","2","503",2020-07-29 23:00:00,0.174277777777778,9
"367","2","503",2020-07-30 11:00:00,0.171721052631579,19
"368","2","503",2020-07-30 23:00:00,0.17465,18
"369","2","503",2020-07-31 11:00:00,0.17178,15
"370","2","503",2020-07-31 23:00:00,0.172733333333333,3
"371","5","501",2020-04-30 23:00:00,0.190842857142857,21
"372","5","501",2020-05-01 11:00:00,0.188775,20
"373","5","501",2020-05-01 23:00:00,0.186058333333333,24
"374","5","501",2020-05-02 11:00:00,0.182725,20
"375","5","501",2020-05-02 23:00:00,0.185583333333333,24
"376","5","501",2020-05-03 11:00:00,0.180495,20
"377","5","501",2020-05-03 23:00:00,0.177295238095238,21
"378","5","501",2020-05-04 11:00:00,0.1754,21
"379","5","501",2020-05-04 23:00:00,0.1763625,24
"380","5","501",2020-05-05 11:00:00,0.175365,20
"381","5","501",2020-05-05 23:00:00,0.177029166666667,24
"382","5","501",2020-05-06 11:00:00,0.171095833333333,24
"383","5","501",2020-05-06 23:00:00,0.171570833333333,24
"384","5","501",2020-05-07 11:00:00,0.1649875,24
"385","5","501",2020-05-07 23:00:00,0.163858333333333,24
"386","5","501",2020-05-08 11:00:00,0.160191304347826,23
"387","5","501",2020-05-08 23:00:00,0.163182608695652,23
"388","5","501",2020-05-09 11:00:00,0.160779166666667,24
"389","5","501",2020-05-09 23:00:00,0.161033333333333,24
"390","5","501",2020-05-10 11:00:00,0.156775,24
"391","5","501",2020-05-10 23:00:00,0.15795,24
"392","5","501",2020-05-11 11:00:00,0.155066666666667,21
"393","5","501",2020-05-11 23:00:00,0.152813043478261,23
"394","5","501",2020-05-12 11:00:00,0.148386956521739,23
"395","5","501",2020-05-12 23:00:00,0.149747619047619,21
"396","5","501",2020-05-13 11:00:00,0.142811764705882,17
"397","5","501",2020-05-13 23:00:00,0.142313043478261,23
