"","horizontalPosition","verticalPosition","t","mean_vswc","n","na","percent_complete"
"373","002","503",2020-05-15 15:00:00,0.221252631578947,19,0,1
"374","002","503",2020-05-16 03:00:00,0.22156,20,0,1
"375","002","503",2020-05-16 15:00:00,0.219044444444444,18,0,1
"376","002","503",2020-05-17 03:00:00,0.220045,20,0,1
"377","002","503",2020-05-17 15:00:00,0.217258823529412,17,0,1
"378","002","503",2020-05-18 03:00:00,0.218717647058824,17,0,1
"379","002","503",2020-05-18 15:00:00,0.217094736842105,19,0,1
"380","002","503",2020-05-19 03:00:00,0.217355,20,0,1
"381","002","503",2020-05-19 15:00:00,0.2154,14,0,1
"382","002","503",2020-05-20 03:00:00,0.214618181818182,22,0,1
"383","002","503",2020-05-20 15:00:00,0.211333333333333,18,0,1
"384","002","503",2020-05-21 03:00:00,0.21125,20,0,1
"385","002","503",2020-05-21 15:00:00,0.209827777777778,18,0,1
"386","002","503",2020-05-22 03:00:00,0.21188125,16,0,1
"387","002","503",2020-05-22 15:00:00,0.209415789473684,19,0,1
"388","002","503",2020-05-23 03:00:00,0.208610526315789,19,0,1
"389","002","503",2020-05-23 15:00:00,0.204938888888889,18,0,1
"390","002","503",2020-05-24 03:00:00,0.204395238095238,21,0,1
"391","002","503",2020-05-24 15:00:00,0.201894117647059,17,0,1
"392","002","503",2020-05-25 03:00:00,0.203478571428571,14,0,1
"393","002","503",2020-05-25 15:00:00,0.202922727272727,22,0,1
"394","002","503",2020-05-26 03:00:00,0.207593333333333,15,0,1
"395","002","503",2020-05-26 15:00:00,0.206184210526316,19,0,1
"396","002","503",2020-05-27 03:00:00,0.209947619047619,21,0,1
"397","002","503",2020-05-27 15:00:00,0.2088,16,0,1
"398","002","503",2020-05-28 03:00:00,0.210838888888889,18,0,1
"399","002","503",2020-05-28 15:00:00,0.20944,15,0,1
"400","002","503",2020-05-29 03:00:00,0.21245,20,0,1
"401","002","503",2020-05-29 15:00:00,0.210475,16,0,1
"402","002","503",2020-05-30 03:00:00,0.2122875,16,0,1
"403","002","503",2020-05-30 15:00:00,0.210431578947368,19,0,1
"404","002","503",2020-05-31 03:00:00,0.21167,20,0,1
"405","002","503",2020-05-31 15:00:00,0.20994,20,0,1
"406","002","503",2020-06-01 03:00:00,0.21198,15,0,1
"407","002","503",2020-06-01 15:00:00,0.210023529411765,17,0,1
"408","002","503",2020-06-02 03:00:00,0.211416666666667,18,0,1
"409","002","503",2020-06-02 15:00:00,0.209663157894737,19,0,1
"410","002","503",2020-06-03 03:00:00,0.211055555555556,18,0,1
"411","002","503",2020-06-03 15:00:00,0.208845,20,0,1
"412","002","503",2020-06-04 03:00:00,0.211375,20,0,1
"413","002","503",2020-06-04 15:00:00,0.208947058823529,17,0,1
"414","002","503",2020-06-05 03:00:00,0.209552380952381,21,0,1
"415","002","503",2020-06-05 15:00:00,0.207088235294118,17,0,1
"416","002","503",2020-06-06 03:00:00,0.20935625,16,0,1
"417","002","503",2020-06-07 03:00:00,0.202852941176471,17,0,1
"418","002","503",2020-06-07 15:00:00,0.198088888888889,18,0,1
"419","002","503",2020-06-08 03:00:00,0.195082352941176,17,0,1
"420","002","503",2020-06-08 15:00:00,0.191858333333333,12,0,1
"421","002","503",2020-06-09 03:00:00,0.191013333333333,15,0,1
"422","002","503",2020-06-09 15:00:00,0.191095,20,0,1
"423","002","503",2020-06-10 03:00:00,0.196094444444444,18,0,1
"424","002","503",2020-06-10 15:00:00,0.19451,20,0,1
"425","002","503",2020-06-11 03:00:00,0.198073684210526,19,0,1
"426","002","503",2020-06-11 15:00:00,0.1967875,24,0,1
"427","002","503",2020-06-12 03:00:00,0.201273684210526,19,0,1
"428","002","503",2020-06-12 15:00:00,0.199077272727273,22,0,1
"429","002","503",2020-06-13 03:00:00,0.2023,20,0,1
"430","002","503",2020-06-13 15:00:00,0.19954,15,0,1
"431","002","503",2020-06-14 03:00:00,0.198745,20,0,1
"432","002","503",2020-06-14 15:00:00,0.19755,16,0,1
"433","002","503",2020-06-15 03:00:00,0.199957142857143,14,0,1
"434","002","503",2020-06-15 15:00:00,0.197872222222222,18,0,1
"435","002","503",2020-06-16 03:00:00,0.201073333333333,15,0,1
"436","002","503",2020-06-16 15:00:00,0.199513333333333,15,0,1
"437","002","503",2020-06-17 03:00:00,0.200833333333333,18,0,1
"438","002","503",2020-06-17 15:00:00,0.197815789473684,19,0,1
"439","002","503",2020-06-18 03:00:00,0.198352631578947,19,0,1
"440","002","503",2020-06-18 15:00:00,0.19579375,16,0,1
"441","002","503",2020-06-19 03:00:00,0.197647058823529,17,0,1
"442","002","503",2020-06-19 15:00:00,0.195209523809524,21,0,1
"443","002","503",2020-06-20 03:00:00,0.198305882352941,17,0,1
"444","002","503",2020-06-20 15:00:00,0.19621,20,0,1
"445","002","503",2020-06-21 03:00:00,0.199323529411765,17,0,1
"446","002","503",2020-06-21 15:00:00,0.198429411764706,17,0,1
"447","002","503",2020-06-22 03:00:00,0.201366666666667,18,0,1
"448","002","503",2020-06-22 15:00:00,0.20056875,16,0,1
"449","002","503",2020-06-23 03:00:00,0.202482608695652,23,0,1
"450","002","503",2020-06-23 15:00:00,0.200063157894737,19,0,1
"451","002","503",2020-06-24 03:00:00,0.201994444444444,18,0,1
"452","002","503",2020-06-24 15:00:00,0.199763157894737,19,0,1
"453","002","503",2020-06-25 03:00:00,0.202764705882353,17,0,1
"454","002","503",2020-06-25 15:00:00,0.201015789473684,19,0,1
"455","002","503",2020-06-26 03:00:00,0.201917647058824,17,0,1
"456","002","503",2020-06-26 15:00:00,0.199484210526316,19,0,1
"457","002","503",2020-06-27 03:00:00,0.20104,15,0,1
"458","002","503",2020-06-27 15:00:00,0.1986,23,0,1
"459","002","503",2020-06-28 03:00:00,0.201805882352941,17,0,1
"460","002","503",2020-06-28 15:00:00,0.1985625,16,0,1
"461","002","503",2020-06-29 03:00:00,0.195613333333333,15,0,1
"462","002","503",2020-06-29 15:00:00,0.191169230769231,13,0,1
"463","002","503",2020-06-30 03:00:00,0.19075,14,0,1
"464","002","503",2020-06-30 15:00:00,0.187517647058824,17,0,1
"465","002","503",2020-07-01 03:00:00,0.188471428571429,14,0,1
"466","002","503",2020-07-01 15:00:00,0.18737,20,0,1
"467","002","503",2020-07-02 03:00:00,0.191494117647059,17,0,1
"468","002","503",2020-07-02 15:00:00,0.190209090909091,22,0,1
"469","002","503",2020-07-03 03:00:00,0.193247058823529,17,0,1
"470","002","503",2020-07-03 15:00:00,0.191916666666667,18,0,1
"471","002","503",2020-07-04 03:00:00,0.194375,16,0,1
"472","002","503",2020-07-04 15:00:00,0.192933333333333,18,0,1
"473","002","503",2020-07-05 03:00:00,0.19484375,16,0,1
"474","002","503",2020-07-05 15:00:00,0.193546666666667,15,0,1
"475","002","503",2020-07-06 03:00:00,0.194926666666667,15,0,1
"476","002","503",2020-07-06 15:00:00,0.192677777777778,18,0,1
